ra,dec,mag
132.782179,11.593700,16.752
132.751472,11.612651,15.368
132.858304,11.616451,14.854
132.859098,11.628726,14.074
132.816805,11.662906,15.880
132.854724,11.561247,13.719
132.862246,11.617477,16.708
132.846063,11.658308,14.325
132.831773,11.599260,13.532
132.760786,11.584326,15.996
132.852642,11.626155,14.585
132.864049,11.533049,13.867
132.822712,11.660341,16.531
132.751545,11.628211,17.426
132.858961,11.545667,13.171
132.768715,11.578507,15.776
132.823040,11.602600,14.341
132.867139,11.635259,13.647
132.817759,11.565517,13.567
132.738137,11.614786,13.271
132.803951,11.555032,17.529
132.800004,11.648530,13.827
132.755525,11.645297,13.917
132.809819,11.540382,13.001
132.744413,11.641038,19.058
132.779091,11.589215,18.030
132.758862,11.662935,17.058
132.856739,11.615362,20.465
132.796866,11.597799,18.106
132.860342,11.577724,15.451
132.761437,11.584890,14.063
132.732673,11.560132,14.156
132.788976,11.542592,16.901
132.833007,11.539286,13.326
132.766242,11.653380,14.451
132.776135,11.563609,13.312
132.824466,11.649320,17.917
132.867630,11.540774,13.193
132.821656,11.602097,13.462
132.770869,11.666230,19.871
132.822119,11.553555,15.036
132.845701,11.571659,13.975
132.803898,11.590911,13.890
132.814864,11.578649,17.749
132.834912,11.570498,14.861
132.824658,11.610199,15.193
